antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'HighBudget', 'Action', 'NotPopularTop25', 'HighRevenue', 'NonSummerRelease'})","frozenset({'HighRating', 'Adventure', 'LongRuntime'})",0.11009174311926606,0.12844036697247707,0.0779816513761468,0.7083333333333334,5.5148809523809526,1.0,0.06384142748926858,2.9882044560943646,0.9199514857489387,0.4857142857142857,0.6653508771929825,0.6577380952380952
"frozenset({'HighRating', 'Adventure', 'LongRuntime'})","frozenset({'HighBudget', 'Action', 'NotPopularTop25', 'HighRevenue', 'NonSummerRelease'})",0.12844036697247707,0.11009174311926606,0.0779816513761468,0.6071428571428571,5.514880952380952,1.0,0.06384142748926858,2.265221017514595,0.9393188854489164,0.4857142857142857,0.558541973490427,0.6577380952380952
"frozenset({'HighBudget', 'NonSummerRelease', 'Action', 'NotPopularTop25'})","frozenset({'HighRating', 'Adventure', 'LongRuntime'})",0.11467889908256881,0.12844036697247707,0.0779816513761468,0.68,5.2942857142857145,1.0,0.06325225149398199,2.7236238532110097,0.9161840902163975,0.4722222222222222,0.632842105263158,0.6435714285714286
"frozenset({'HighBudget', 'NonSummerRelease', 'Action', 'NotPopularTop25'})","frozenset({'HighRating', 'HighRevenue', 'Adventure', 'LongRuntime'})",0.11467889908256881,0.12844036697247707,0.0779816513761468,0.68,5.2942857142857145,1.0,0.06325225149398199,2.7236238532110097,0.9161840902163975,0.4722222222222222,0.632842105263158,0.6435714285714286
"frozenset({'HighRating', 'Adventure', 'LongRuntime'})","frozenset({'HighBudget', 'NonSummerRelease', 'Action', 'NotPopularTop25'})",0.12844036697247707,0.11467889908256881,0.0779816513761468,0.6071428571428571,5.294285714285714,1.0,0.06325225149398199,2.2535446205170975,0.9306501547987617,0.4722222222222222,0.5562546262028127,0.6435714285714286
"frozenset({'HighRating', 'HighRevenue', 'Adventure', 'LongRuntime'})","frozenset({'HighBudget', 'NonSummerRelease', 'Action', 'NotPopularTop25'})",0.12844036697247707,0.11467889908256881,0.0779816513761468,0.6071428571428571,5.294285714285714,1.0,0.06325225149398199,2.2535446205170975,0.9306501547987617,0.4722222222222222,0.5562546262028127,0.6435714285714286
"frozenset({'HighRating', 'HighBudget', 'Action', 'NotPopularTop25', 'NonSummerRelease'})","frozenset({'HighRevenue', 'Adventure', 'LongRuntime'})",0.10091743119266056,0.1559633027522936,0.0779816513761468,0.7727272727272727,4.954545454545454,1.0,0.06224223550206212,3.713761467889908,0.8877551020408163,0.4358974358974359,0.7307312252964426,0.6363636363636364
"frozenset({'HighRevenue', 'Adventure', 'LongRuntime'})","frozenset({'HighRating', 'HighBudget', 'Action', 'NotPopularTop25', 'NonSummerRelease'})",0.1559633027522936,0.10091743119266056,0.0779816513761468,0.5,4.954545454545454,1.0,0.06224223550206212,1.7981651376146788,0.9456521739130435,0.4358974358974359,0.4438775510204082,0.6363636363636364
"frozenset({'HighRating', 'Adventure', 'LongRuntime'})","frozenset({'HighRevenue', 'HighBudget', 'Action', 'NotPopularTop25'})",0.12844036697247707,0.1559633027522936,0.0963302752293578,0.75,4.8088235294117645,1.0,0.07629829138961366,3.376146788990826,0.9087719298245612,0.5121951219512195,0.7038043478260869,0.6838235294117647
"frozenset({'HighRevenue', 'HighBudget', 'Action', 'NotPopularTop25'})","frozenset({'HighRating', 'Adventure', 'LongRuntime'})",0.1559633027522936,0.12844036697247707,0.0963302752293578,0.6176470588235294,4.8088235294117645,1.0,0.07629829138961366,2.279463655610445,0.9384057971014491,0.5121951219512195,0.5613003095975232,0.6838235294117647
"frozenset({'HighRating', 'HighBudget', 'NonSummerRelease', 'Action'})","frozenset({'HighRevenue', 'Adventure', 'NotPopularTop25', 'LongRuntime'})",0.12385321100917432,0.13302752293577982,0.0779816513761468,0.6296296296296297,4.733077905491698,1.0,0.06150576550795388,2.340825688073395,0.9002155836156452,0.4358974358974359,0.5728003135410543,0.6079182630906769
"frozenset({'HighRevenue', 'Adventure', 'NotPopularTop25', 'LongRuntime'})","frozenset({'HighRating', 'HighBudget', 'NonSummerRelease', 'Action'})",0.13302752293577982,0.12385321100917432,0.0779816513761468,0.5862068965517241,4.733077905491698,1.0,0.06150576550795388,2.117354740061162,0.9097416744475568,0.4358974358974359,0.5277125834988264,0.6079182630906769
"frozenset({'HighRevenue', 'Action', 'NonSummerRelease', 'NotPopularTop25'})","frozenset({'HighRating', 'Adventure', 'LongRuntime'})",0.12844036697247707,0.12844036697247707,0.0779816513761468,0.6071428571428571,4.72704081632653,1.0,0.061484723508122216,2.2185154295246035,0.9046439628482973,0.4358974358974359,0.5492481203007519,0.6071428571428571
"frozenset({'HighRating', 'Adventure', 'LongRuntime'})","frozenset({'HighRevenue', 'Action', 'NonSummerRelease', 'NotPopularTop25'})",0.12844036697247707,0.12844036697247707,0.0779816513761468,0.6071428571428571,4.72704081632653,1.0,0.061484723508122216,2.2185154295246035,0.9046439628482973,0.4358974358974359,0.5492481203007519,0.6071428571428571
